"","date","OMEX"
"533","2009-02-12",48.959999
"534","2009-02-13",48.959999
"535","2009-02-17",46.32
"536","2009-02-18",44.279999
"537","2009-02-19",45.240002
"538","2009-02-20",43.200001
"539","2009-02-23",39.720001
"540","2009-02-24",43.439999
"541","2009-02-25",39
"542","2009-02-26",40.32
"543","2009-02-27",40.32
"544","2009-03-02",37.32
"545","2009-03-03",36.240002
"546","2009-03-04",37.200001
"547","2009-03-05",34.68
"548","2009-03-06",34.439999
"549","2009-03-09",33.84
"550","2009-03-10",35.880001
"551","2009-03-11",36.720001
"552","2009-03-12",38.16
"553","2009-03-13",38.52
"554","2009-03-16",41.040001
"555","2009-03-17",41.639999
"556","2009-03-18",43.439999
"557","2009-03-19",43.200001
"558","2009-03-20",41.880001
"559","2009-03-23",45.84
"560","2009-03-24",44.52
"561","2009-03-25",41.759998
"562","2009-03-26",44.16
"563","2009-03-27",41.52
"564","2009-03-30",39.959999
"565","2009-03-31",40.68
"566","2009-04-01",41.040001
"567","2009-04-02",44.400002
"568","2009-04-03",44.279999
"569","2009-04-06",42.119999
"570","2009-04-07",40.080002
"571","2009-04-08",41.400002
"572","2009-04-09",42.599998
"573","2009-04-13",41.400002
"574","2009-04-14",39.240002
"575","2009-04-15",40.560001
"576","2009-04-16",40.68
"577","2009-04-17",40.560001
"578","2009-04-20",39
"579","2009-04-21",40.080002
"580","2009-04-22",42.959999
"581","2009-04-23",42.84
"582","2009-04-24",43.200001
"583","2009-04-27",41.279999
"584","2009-04-28",40.439999
"585","2009-04-29",41.52
"586","2009-04-30",41.759998
"587","2009-05-01",41.639999
"588","2009-05-04",42.360001
"589","2009-05-05",43.080002
"590","2009-05-06",44.040001
"591","2009-05-07",42.48
"592","2009-05-08",43.080002
"593","2009-05-11",42.240002
"594","2009-05-12",41.16
"595","2009-05-13",38.639999
"596","2009-05-14",40.68
"597","2009-05-15",40.080002
"598","2009-05-18",41.880001
"599","2009-05-19",41.16
"600","2009-05-20",41.400002
"601","2009-05-21",41.880001
"602","2009-05-22",44.880001
"603","2009-05-26",46.080002
"604","2009-05-27",43.919998
"605","2009-05-28",43.560001
"606","2009-05-29",45.84
"607","2009-06-01",46.200001
"608","2009-06-02",46.919998
"609","2009-06-03",46.439999
"610","2009-06-04",26.52
"611","2009-06-05",22.08
"612","2009-06-08",23.76
"613","2009-06-09",23.52
"614","2009-06-10",22.32
"615","2009-06-11",22.559999
"616","2009-06-12",22.68
"617","2009-06-15",22.200001
"618","2009-06-16",21.6
"619","2009-06-17",21.959999
"620","2009-06-18",22.08
"621","2009-06-19",22.08
"622","2009-06-22",20.76
"623","2009-06-23",19.92
"624","2009-06-24",19.08
"625","2009-06-25",18.24
"626","2009-06-26",17.639999
"627","2009-06-29",18.120001
"628","2009-06-30",19.200001
"629","2009-07-01",19.559999
"630","2009-07-02",20.280001
"631","2009-07-06",18.360001
"632","2009-07-07",17.879999
"633","2009-07-08",18
"634","2009-07-09",18
"635","2009-07-10",17.639999
"636","2009-07-13",18.48
"637","2009-07-14",18.719999
"638","2009-07-15",19.200001
"639","2009-07-16",19.92
"640","2009-07-17",19.08
"641","2009-07-20",21.360001
"642","2009-07-21",21.84
"643","2009-07-22",22.200001
"644","2009-07-23",23.280001
"645","2009-07-24",23.52
"646","2009-07-27",23.879999
"647","2009-07-28",23.280001
"648","2009-07-29",22.440001
"649","2009-07-30",22.92
"650","2009-07-31",22.559999
"651","2009-08-03",23.16
"652","2009-08-04",23.280001
"653","2009-08-05",22.799999
"654","2009-08-06",22.440001
"655","2009-08-07",22.32
"656","2009-08-10",22.440001
"657","2009-08-11",21.959999
"658","2009-08-12",21.84
"659","2009-08-13",22.200001
"660","2009-08-14",22.200001
"661","2009-08-17",21.48
"662","2009-08-18",21.959999
"663","2009-08-19",22.440001
"664","2009-08-20",23.040001
"665","2009-08-21",24.360001
"666","2009-08-24",24.120001
"667","2009-08-25",25.200001
"668","2009-08-26",24.84
"669","2009-08-27",24.719999
"670","2009-08-28",23.040001
"671","2009-08-31",22.32
"672","2009-09-01",22.08
"673","2009-09-02",21.6
"674","2009-09-03",22.08
