"","date","NIO"
"500","2020-09-04",17.98
"501","2020-09-08",17.030001
"502","2020-09-09",18.09
"503","2020-09-10",17.74
"504","2020-09-11",17.969999
"505","2020-09-14",18.73
"506","2020-09-15",19.190001
"507","2020-09-16",19.01
"508","2020-09-17",19.299999
"509","2020-09-18",19.41
"510","2020-09-21",18.809999
"511","2020-09-22",19.23
"512","2020-09-23",17.959999
"513","2020-09-24",17.85
"514","2020-09-25",18.32
"515","2020-09-28",18.809999
"516","2020-09-29",20.85
"517","2020-09-30",21.219999
"518","2020-10-01",21.76
"519","2020-10-02",21.18
"520","2020-10-05",21.59
"521","2020-10-06",20.67
"522","2020-10-07",21.559999
"523","2020-10-08",21.440001
"524","2020-10-09",21.469999
"525","2020-10-12",21.85
"526","2020-10-13",21.620001
"527","2020-10-14",26.5
"528","2020-10-15",28.07
"529","2020-10-16",28.48
"530","2020-10-19",27.629999
"531","2020-10-20",27.959999
"532","2020-10-21",27.860001
"533","2020-10-22",27.379999
"534","2020-10-23",27.16
"535","2020-10-26",26.01
"536","2020-10-27",28.440001
"537","2020-10-28",27.51
"538","2020-10-29",31.99
"539","2020-10-30",30.58
"540","2020-11-02",33.32
"541","2020-11-03",35.5
"542","2020-11-04",37.709999
"543","2020-11-05",42.349998
"544","2020-11-06",41.630001
"545","2020-11-09",44.02
"546","2020-11-10",41.549999
"547","2020-11-11",43.080002
"548","2020-11-12",48.299999
"549","2020-11-13",44.560001
"550","2020-11-16",45.580002
"551","2020-11-17",46.59
"552","2020-11-18",45.060001
"553","2020-11-19",48.450001
"554","2020-11-20",49.25
"555","2020-11-23",55.380001
"556","2020-11-24",53.509998
"557","2020-11-25",53.689999
"558","2020-11-27",54
