"","date","CVEO"
"438","2016-02-11",9.828
"439","2016-02-12",10.356
"440","2016-02-16",10.632
"441","2016-02-17",11.244
"442","2016-02-18",10.56
"443","2016-02-19",10.32
"444","2016-02-22",10.68
"445","2016-02-23",10.848
"446","2016-02-24",10.8
"447","2016-02-25",11.64
"448","2016-02-26",11.328
"449","2016-02-29",10.68
"450","2016-03-01",10.8
"451","2016-03-02",11.172
"452","2016-03-03",12.12
"453","2016-03-04",14.88
"454","2016-03-07",17.040001
"455","2016-03-08",14.52
"456","2016-03-09",16.08
"457","2016-03-10",15
"458","2016-03-11",15.24
"459","2016-03-14",14.88
"460","2016-03-15",14.4
"461","2016-03-16",15
"462","2016-03-17",16.32
"463","2016-03-18",18.719999
"464","2016-03-21",18.48
"465","2016-03-22",17.4
"466","2016-03-23",15.72
"467","2016-03-24",15.48
"468","2016-03-28",15.12
"469","2016-03-29",15.6
"470","2016-03-30",15.96
"471","2016-03-31",14.76
"472","2016-04-01",14.76
"473","2016-04-04",13.92
"474","2016-04-05",12.84
"475","2016-04-06",13.56
"476","2016-04-07",12.6
"477","2016-04-08",13.44
"478","2016-04-11",13.8
"479","2016-04-12",15.24
"480","2016-04-13",14.4
"481","2016-04-14",14.52
"482","2016-04-15",14.16
"483","2016-04-18",14.64
"484","2016-04-19",15.6
"485","2016-04-20",15.72
"486","2016-04-21",15.6
"487","2016-04-22",16.200001
"488","2016-04-25",15.24
"489","2016-04-26",16.32
"490","2016-04-27",17.280001
"491","2016-04-28",18.120001
"492","2016-04-29",18.24
"493","2016-05-02",17.4
"494","2016-05-03",17.040001
"495","2016-05-04",17.52
"496","2016-05-05",21.84
"497","2016-05-06",22.440001
"498","2016-05-09",22.200001
"499","2016-05-10",22.92
"500","2016-05-11",22.799999
"501","2016-05-12",22.440001
"502","2016-05-13",22.559999
"503","2016-05-16",23.16
"504","2016-05-17",24.959999
"505","2016-05-18",23.4
"506","2016-05-19",22.559999
"507","2016-05-20",23.040001
"508","2016-05-23",22.68
"509","2016-05-24",23.639999
"510","2016-05-25",24.6
"511","2016-05-26",24.120001
"512","2016-05-27",24
"513","2016-05-31",24.120001
"514","2016-06-01",24.120001
"515","2016-06-02",23.879999
"516","2016-06-03",23.879999
"517","2016-06-06",25.440001
"518","2016-06-07",26.879999
"519","2016-06-08",28.08
"520","2016-06-09",27.120001
"521","2016-06-10",25.200001
"522","2016-06-13",25.799999
"523","2016-06-14",24.959999
"524","2016-06-15",24.48
"525","2016-06-16",22.68
"526","2016-06-17",23.16
"527","2016-06-20",23.040001
"528","2016-06-21",22.92
"529","2016-06-22",22.559999
"530","2016-06-23",23.16
"531","2016-06-24",21.6
"532","2016-06-27",20.52
"533","2016-06-28",21.24
"534","2016-06-29",21.48
"535","2016-06-30",21.6
"536","2016-07-01",22.92
"537","2016-07-05",21.84
"538","2016-07-06",21.959999
"539","2016-07-07",21.48
"540","2016-07-08",22.559999
"541","2016-07-11",21.719999
"542","2016-07-12",22.559999
