"","date","AMAG"
"556","2009-03-18",32.529999
"557","2009-03-19",32.459999
"558","2009-03-20",33.549999
"559","2009-03-23",37.209999
"560","2009-03-24",35.650002
"561","2009-03-25",36
"562","2009-03-26",36.740002
"563","2009-03-27",36.84
"564","2009-03-30",37.080002
"565","2009-03-31",36.77
"566","2009-04-01",37.290001
"567","2009-04-02",38.740002
"568","2009-04-03",40.119999
"569","2009-04-06",39.900002
"570","2009-04-07",39.709999
"571","2009-04-08",40.049999
"572","2009-04-09",40.32
"573","2009-04-13",40.900002
"574","2009-04-14",40.560001
"575","2009-04-15",40.380001
"576","2009-04-16",41.5
"577","2009-04-17",41.41
"578","2009-04-20",41.360001
"579","2009-04-21",41.310001
"580","2009-04-22",41.73
"581","2009-04-23",42.209999
"582","2009-04-24",42.380001
"583","2009-04-27",42.740002
"584","2009-04-28",44
"585","2009-04-29",46.09
"586","2009-04-30",44.849998
"587","2009-05-01",49
"588","2009-05-04",50.84
"589","2009-05-05",51.240002
"590","2009-05-06",51.189999
"591","2009-05-07",52.68
"592","2009-05-08",54.540001
"593","2009-05-11",54
"594","2009-05-12",55.049999
"595","2009-05-13",53.740002
"596","2009-05-14",53.849998
"597","2009-05-15",53.5
"598","2009-05-18",53.380001
"599","2009-05-19",52.630001
"600","2009-05-20",52.57
"601","2009-05-21",52.049999
"602","2009-05-22",51.98
"603","2009-05-26",52.93
"604","2009-05-27",52.16
"605","2009-05-28",52.279999
"606","2009-05-29",52.599998
"607","2009-06-01",52.529999
"608","2009-06-02",54.919998
"609","2009-06-03",55.610001
"610","2009-06-04",54.77
"611","2009-06-05",54.439999
"612","2009-06-08",53.099998
"613","2009-06-09",53.02
"614","2009-06-10",52.939999
"615","2009-06-11",53.209999
"616","2009-06-12",53.279999
"617","2009-06-15",50.470001
"618","2009-06-16",50.02
"619","2009-06-17",50.639999
"620","2009-06-18",52.619999
"621","2009-06-19",53.849998
"622","2009-06-22",51.68
"623","2009-06-23",52.009998
"624","2009-06-24",51.740002
"625","2009-06-25",53.59
"626","2009-06-26",54.639999
"627","2009-06-29",54.759998
"628","2009-06-30",54.669998
"629","2009-07-01",55.91
"630","2009-07-02",52.810001
"631","2009-07-06",53.799999
"632","2009-07-07",50.5
"633","2009-07-08",49.080002
"634","2009-07-09",48.310001
"635","2009-07-10",47.060001
"636","2009-07-13",47
"637","2009-07-14",46.290001
"638","2009-07-15",47.73
"639","2009-07-16",48.919998
"640","2009-07-17",50.16
"641","2009-07-20",50.59
"642","2009-07-21",50.700001
"643","2009-07-22",49.970001
"644","2009-07-23",50.950001
"645","2009-07-24",50.669998
"646","2009-07-27",49.939999
"647","2009-07-28",49.959999
"648","2009-07-29",49.900002
"649","2009-07-30",46.259998
"650","2009-07-31",45.41
"651","2009-08-03",43.880001
"652","2009-08-04",45.200001
"653","2009-08-05",44.990002
"654","2009-08-06",44.610001
"655","2009-08-07",45.029999
"656","2009-08-10",45.25
"657","2009-08-11",43.889999
"658","2009-08-12",44.349998
"659","2009-08-13",43.759998
"660","2009-08-14",43.25
"661","2009-08-17",42.259998
"662","2009-08-18",41.549999
"663","2009-08-19",41.790001
